what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1391772523472
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1391772523473
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1391772523473
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1391772523473
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1391772523474
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1391772523474
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1391772523475
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1391772523476
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1391772523476
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1391772523477
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1391772523478
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1391772523478
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1391772523479
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1391772523480
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1391772523480
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1391772523481
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1391772523482
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1391772523482
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1391772523483
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1391772523484
os,sysinfo,,,"win32",1391772523486
arch,sysinfo,,,"x86_64",1391772523486
ws,sysinfo,,,"win32",1391772523486
locale,sysinfo,,,"en_US",1391772523486
processors,sysinfo,,,"8",1391772523486
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1391772523486
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1391772523486
java.specification.name,sysinfo,,,"Java Platform API Specification",1391772523486
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1391772523486
java.specification.version,sysinfo,,,"1.6",1391772523486
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1391772523486
java.version,sysinfo,,,"1.6.0_20",1391772523486
java.vm.info,sysinfo,,,"mixed mode",1391772523486
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1391772523486
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1391772523486
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1391772523486
java.vm.specification.version,sysinfo,,,"1.0",1391772523486
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1391772523486
java.vm.version,sysinfo,,,"16.3-b01",1391772523486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391772536524
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391772540254
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391772540365
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1391772540488
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1391772540492
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1391772540567
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1391772540567
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1391772540569
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1391772540571
stopped,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1391772540571
stopped,bundle,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets",1391772540572
stopped,bundle,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef",1391772540573
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1391772540573
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1391772540574
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1391772540574
